epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03596,0.98531,2.64904,1.31204,0.55859,0.85,0.87771,0.63475,1.65648,1.07053,1.37986,0,0,0
2,2.20707,1.0359,3.26313,1.38105,0.55588,0.85,0.88554,0.63519,1.66774,1.0681,1.38506,1.17822e-06,1.17822e-06,1.17822e-06
3,3.4193,1.37506,2.78189,1.77383,0.55098,0.85,0.84963,0.61708,1.68671,1.07735,1.39134,2.33288e-06,2.33288e-06,2.33288e-06
4,4.61744,1.49734,2.99986,2.07227,0.54808,0.85,0.85442,0.63765,1.69516,1.06983,1.39336,3.46397e-06,3.46397e-06,3.46397e-06
5,5.73283,1.4898,3.26952,1.93839,0.53904,0.85,0.8556,0.63813,1.67399,1.05095,1.36678,4.5715e-06,4.5715e-06,4.5715e-06
6,6.84338,1.17605,2.70684,1.47858,0.81692,0.646,0.85883,0.6262,1.65404,1.04505,1.35421,5.65548e-06,5.65548e-06,5.65548e-06
7,8.14131,1.16073,2.38581,1.42361,0.55728,0.85,0.87301,0.62621,1.65402,1.04903,1.35584,6.71588e-06,6.71588e-06,6.71588e-06
8,9.41767,0.97999,2.43883,1.23915,0.58024,0.86497,0.85958,0.62778,1.6564,1.06305,1.35943,7.75273e-06,7.75273e-06,7.75273e-06
9,10.5358,1.11782,3.69672,1.47573,0.77971,0.65,0.89436,0.62928,1.63646,1.03985,1.34381,8.76602e-06,8.76602e-06,8.76602e-06
10,11.6848,1.00045,2.4148,1.24257,0.77022,0.65,0.89449,0.63083,1.63849,1.05027,1.34345,9.75574e-06,9.75574e-06,9.75574e-06
11,12.8303,1.13116,2.81976,1.39536,0.65712,0.77828,0.90973,0.63379,1.63797,1.05248,1.3406,1.07219e-05,1.07219e-05,1.07219e-05
12,14.0693,0.89183,2.15001,1.28148,0.6605,0.77886,0.9117,0.64542,1.63984,1.07547,1.34133,1.16645e-05,1.16645e-05,1.16645e-05
13,15.4094,0.9101,1.89818,1.43238,0.65708,0.77762,0.91168,0.64752,1.62215,1.08068,1.32987,1.25835e-05,1.25835e-05,1.25835e-05
14,16.6654,0.99118,2.22327,1.38587,0.70585,0.74633,0.9126,0.65251,1.61085,1.08315,1.32726,1.3479e-05,1.3479e-05,1.3479e-05
